paper_id,paper_title,main_classification,subclassification,focus,main_contribution,context,data_collection,tries_to_help_users_to,summary_tries_to_help_to,keywords,sample_size,sample_demographics,sample_recruitment,user_compensation,user_level,domain,publication_type,authors,year,venue
P11,A machine-learning based approach to privacy-aware information-sharing in mobile social networks,Control Information Disclosure,Control Information Disclosure,Automatic decision-making,"Design and implementation of a feature-rich decision making mechanism ( Smart Privacy-aware Information Sharing Mechanism (SPISM)) and the evaluation of its performance, in addition to the analysis of users’ sharing behaviors, based on a novel and rich dataset.","Information sharing: the information-sharing system that decides (semi-)automatically, based on personal and contextual features, whether to share information with others and at what granularity, whenever it is requested",Experiment with dataset,make information-sharing decisions,control information disclosure,Information-sharing; Decision-making; Machine Learning; User study; Privacy,194,general,mixed,Other,lay,Social Networks,Journal Article,"Bilogrevic I., Huguenin K., Agir B., Jadliwala M., Gazaki M., Hubaux J.-P.",2016,Pervasive and Mobile Computing
P12,A Model for Governing Information Sharing in Smart Assistants,Control Information Disclosure,Control Information Disclosure,Data collection by smart devices,"Present a model to learn and represent privacy norms and to reason about their relevance and applicability in different contexts, allowing SPAs to make decisions about information flows",Information sharing: a normative supervision model that can help SPAs reason about information sharing decisions.,Experiment with dataset,have their SPAs reason about privacy norms to decide the best course of action according to the user’s expectations,control information disclosure,privacy; smart personal assistants; voice assistants; personal data; data protection,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Zhan X., Sarkadi S., Criado N., Such J.",2022,"AIES 2022 - Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society"
P13,A Multi-agent Model to Support Privacy Preserving Co-owned Image Sharing on Social Media,Control Information Disclosure,Negotiation and conflict resolution,Sharing of co-owned images with the support of multi-agent systems to resolve privacy conflicts,Present a multi-agent system in which an opinion formulation algorithm computes offline user opinions based on user personality and behaviour information.,"Privacy settings: An uploader agent acting on behalf of the user wishing to post the co-owned image, contacts the user agents acting on behalf of the other users who appear in the image, to reach a privacy agreement with respect to posting the image.",Experiment with dataset,reach a consensus on posting the image,manage multiparty privacy,-,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Motlagh F.N., Kayem A.V.D.M., Meinel C.",2022,Lecture Notes in Networks and Systems
P14,A new approach for managing Android permissions: learning users’ preferences,Control Information Disclosure,Recommendation-based,Android permission model; permission management through recommender-based system,"Present permission management system for Android devices that (1) learns users’ privacy preferences with a novel learning algorithm, (2) proposes them abstract authorization rules, and (3) provides advanced features to manage these high-level rules.",Android permission model: learning from users’ behavior to help them and advise them by proposing rules with different levels of abstractions,Simulation,"protect their privacy more easily, without needing knowledge about access control models or policy’s structure",manage privacy settings,Android permission; Access control model; Recommender System,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Oglaza, Arnaud; Laborde, Romain; Zaraté, Pascale; Benzekri, Abdelmalek; Barrère, François",2017,EURASIP Journal on Information Security
P15,A Privacy Settings Prediction Model for Textual Posts on Social Networks,Control Information Disclosure,interaction with social networks,Privacy management in OSNs; recommender-based configuration of privacy settings for text-based posts,"present a random forest based privacy policy prediction model, which aims to recommend fine-grained privacy policies to users.",Information sharing: Users can manage their sharing content’s privacy via privacy policies prediction based on users’ historical decision,Experiment with dataset,configure privacy settings for text-based posts.,manage privacy settings,Social Networks; Privacy; Policy Recommendation,94,general,NI,NI,N/A,Social Networks,Journal Article,"Chen L., Xu M., Yang X., Zheng N., Wu Y., Xu J., Qiao T., Liu H.",2018,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST"
P16,A Privacy-Enhanced Friending Approach for Users on Multiple Online Social Networks,Control Information Disclosure,Control Information Disclosure,Privacy management in OSNs,Introduce an automated model for privacy-preserved friending for users concentrating on multiple online social networking sites based on the sensitivity of information.,provide a more accurate idea of their sharing information behaviour by the privacy-enhanced friending technique prior to friending other users,Experiment with dataset,users to achieve friending with other individuals in online social networks with a mitigated risk of privacy,control information disclosure,online privacy; social networks; sensitivity measurement; privacy risk; friending; information sharing,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Aghasian E., Garg S., Montgomery J.",2018,Computers
P17,A Proposal of Privacy Management Architecture,Control Information Disclosure,Control Information Disclosure,SP/IdP interaction,Proposal of a privacy management architecture for secure exchange of private information,Information disclosure: Users define their privacy preferences that are managed by a service broker during SP request,Prototype,to prevent unnecessary leak of information,control information disclosure,privacy management; policy management; web service,-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Osawa, Y.; Imamura, S.; Takeda, A.; Kitagata, G.; Shiratori, N.; Hashimoto, K.",2010,2010 10th IEEE/IPSJ International Symposium on Applications and the Internet
P18,A recommendation approach for user privacy preferences in the fitness domain,Control Information Disclosure,Recommendation-based,Privacy management in IoT; permission management through recommender-based system,A recommendation approach for user privacy preferences,Privacy settings: “User-Tailored Privacy” by the use of privacy profile settings with a recommendation approach,Online exp.,balance control over their privacy permissions and the simplicity of setting these permissions,manage privacy settings,Privacy preferences; Fitness trackers; Profiling; Privacy-setting recommendations; Privacy management; Wearable IoT devices,295,general,online,payment from the plataform used,expert,Internet of Things,Journal Article,"Sanchez O.R., Torre I., He Y., Knijnenburg B.P.",2020,User Modeling and User-Adapted Interaction
P19,A self-configuring and adaptive privacy-aware permission system for Android apps,Control Information Disclosure,Recommendation-based,Android permission model,"Present an extension to a previous work of Android Flexible Permissions, considering self-configuration and self-adaptability to user privacy configuration based on user history",Privacy settings: suggest an initial configuration for privacy settings of newly installed apps,Prototype,have finer-grade control over their personal data,manage privacy settings,Android permission system; privacy-awareness; self-configuration; self-adaptation,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Scoccia, G. L.; Autili, M.; Inverardi, P.",2020,2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS)
P20,A Semi-supervised Approach to Measuring User Privacy in Online Social Networks,Raise Privacy Awareness,Risk communication,privacy score of the user interaction in social networks,Propose a circle-based definition of privacy score based on an active learning approach to provide the users of online social networks with a measure of their privacy leakage,Information sharing: user decides which friends are allowed to see each profile item/post and our privacy score is defined accordingly,Online exp.,be aware of the risks derived by the indiscriminate disclosure of their personal data,raise privacy awareness,privacy metrics; active learning; online social networks,185,general,online,None,lay,Social Networks,Conference Paper,"Pensa R.G., Di Blasi G.",2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
P21,A Server-side Approach to Privacy Policy Matching,Control Information Disclosure,Manage Privacy Settings,Privacy policy,"Propose a new approach to privacy policy matching - server side solution, denoted server-side matching.","Privacy settings: users do not have to decide whether to accept the privacy policy of a service, the service has to figure out how to fulfil the preferences of the user.",Prototype,be alleviated from the burden of conducting continuously privacy decisions,manage privacy settings,Privacy Enhancing Technology; privacy preferences; P3P; user agent,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Nyre, Å. A.; Bernsmed, K.; Bo, S.; Pedersen, S.",2011,"2011 Sixth International Conference on Availability, Reliability and Security"
P22,A User-Centric and Sentiment Aware Privacy-Disclosure Detection Framework based on Multi-input Neural Network,Control Information Disclosure,Control Information Disclosure,Information disclosure in text,A model to provide a better NLP tool to be integrated into any comprehensive privacy framework.,Information disclosure: classification systems more accurately identify text that might disclose the author’s personal or private information,Experiment with dataset,identify potential privacy disclosure,control information disclosure,Privacy; Natural Language Processing; Neural Network,-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Mehdy, A. K.; Mehrpouyan, Hoda",2020,the PrivateNLP 2020 Workshop on Privacy and Natural Language Processing Colocated with 13th ACM International WSDM Conference
P23,"A User-Centric Privacy-Preserving Approach to Control Data Collection, Storage, and Disclosure in Own Smart Home Environments",Control Information Disclosure,Control Information Disclosure,Data collection by smart devices,"A user-centric privacy-preserving approach, which allows the end users to control the entire data collection, storage, and disclosure process in smart home environments.",Privacy settings: fine-grained control of data collection and disclosure,Qualitative comparison with other solutions,manage the data disclosure of their smart health care device,control information disclosure,"Internet of Things; IoT; Social IoT and Privacy; Usability, Data protection; Data collection; Smart objects; Smart home; Smart environments",-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Wickramasinghe C.I., Reinhardt D.",2022,"18th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services, MobiQuitous 2021"
P24,A User-Friendly Privacy Framework for Users to Achieve Consents With Nearby BLE Devices,Control Information Disclosure,limited user interface,Privacy management,Propose a privacy preferences expression framework for BLE-based applications named PrivacyBat,"Privacy settings: a PrivacyBat compatible device should implement the Privacy Preference Expression GATT service. Consequently, a user can connect to a PrivacyBat compatible device and express their preferences for received privacy policies through such a service",Proof-of-concept,notify BLE devices of their privacy preferences,manage privacy settings,Bluetooth low energy (BLE); BLE privacy; informed consent; Internet of Things (IoT); IoT privacy,-,N/A,N/A,N/A,N/A,Internet of Things,Journal Article,"Cha S.-C., Chuang M.-S., Yeh K.-H., Huang Z.-J., Su C.",2018,IEEE Access
P25,A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet,Raise Privacy Awareness,Analysis of past disclosures,Visualization of personal data collected in the internet by online services,"Present TransparencyVis - a web-based interface to support the visual and interactive exploration of data exports from different online services, aiming to increase user awareness of personal data stored by such online services and the effects of online behaviour. ",Visualisation of personal data exports: TransparencyVis - a web-based interface to support the visual and interactive exploration of data exports from different online services,Online exp.,reflect on their privacy attitude and their future behavior.,raise privacy awareness,Information visualization; privacy awareness; transparency-enhancing technologies; usable privacy; user-centered design,37,general,online,N/A,mixed,Online Services,Journal Article,"Schufrin M., Reynolds S.L., Kuijper A., Kohlhammer J.",2021,IEEE Transactions on Visualization and Computer Graphics
P26,Addressing The Privacy Paradox through Personalized Privacy Notifications,Raise Privacy Awareness,Risk communication,Addressing the privacy paradox through privacy notifications,Propose a personalized privacy notification approach to nudge users towards behaviors that reflect their privacy attitudes,Privacy notification: personalised privacy notifications through a discrepancy interface - mobile apps domain - Android,Online exp.,be able to pay attention to the inconsistencies between their attitudes and specific apps/permissions altogether,raise privacy awareness,Privacy interfaces; warnings; notice and choice; personalization; privacy attitudes; privacy behavior; privacy paradox; mobile apps; permission systems,241,general,crowd sourcing platform,payment from the plataform used,lay,Software applications,Journal Article,"Jackson, Corey Brian; Wang, Yang",2018,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies"
P27,Aegis: An Agent for Multi-party Privacy Preservation,Control Information Disclosure,Negotiation and conflict resolution,Multi-party privacy management,Propose an agent called Aegis to calculate the potential risk incurred by multi-party members in order to push privacy-preserving nudges to the sharer,"Information sharing: a risk metric is proposed to analyze and predict the loss in terms of personal information if the sharer were to publish the post. Then, an automated agent called Aegis intervenes to persuade the user not to reveal the information based on its consequences.",Proof-of-concept,be nudged when risking the other parties’ privacy through the disclosure,manage multiparty privacy,Aegis; consequentialist approach; normative ethical problem solving; data valuation; multi-party,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Ben Salem R., Aimeur E., Hage H.",2022,"AIES 2022 - Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society"
P28,AI-based analysis of policies and images for privacy-conscious content sharing,Raise Privacy Awareness,Improving querying and readability,Aiding informed decision-making,Propose AI-based techniques for assisting the user in taking informed privacy decisions about new app/devices and data sharing in social networks,"Privacy policy: the user communicates in natural language (NL) with a conversational agent, or chatbot",Experiment with dataset,set up their privacy policies and taking informed privacy decisions,raise knowledge of privacy policies,privacy policy assistant; social networks; artificial intelligence,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Contu F., Demontis A., Dessì S., Muscas M., Riboni D.",2021,Future Internet
P29,An approach to personalized privacy policy recommendations on online social networks,Control Information Disclosure,interaction with social networks,automated privacy policy recommender system,"Propose an automated privacy policy recommender system users to protect both profile attributes and generated content, with minimal user input","Privacy settings: privacy policy recommender system that enables users to protect profile attributes and generated content, without having to deal with complex privacy policy configuration procedures",Experiment with dataset,configure privacy policies for their profile attributes without having to deal with complex privacy policy configuration procedures,manage privacy settings,Privacy Policies; Recommendation Systems; Social Networks,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Abuelgasim A., Kayem A.",2016,ICISSP 2016 - Proceedings of the 2nd International Conference on Information Systems Security and Privacy
P30,An automated model to score the privacy of unstructured information—Social media case,Raise Privacy Awareness,Risk communication,privacy score of the user interaction in social networks,Propose a privacy scoring model in social media to inform users about the level of their privacy from the amount of unstructured information they have shared,Information sharing: an automated fuzzy-based model that can extract the privacy related features as well as the related shared structured data and measure and warn users regarding the textual data privacy risks they have shared in online social platforms,Experiment with dataset,able to preserve their privacy and their sensitive information with anyone who can see their shared contents,raise privacy awareness,Privacy; Social networks; Unstructured data; Data privacy score; Sentiment analysis; Machine learning,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Aghasian E., Garg S., Montgomery J.",2020,Computers and Security
P31,An Automated Negotiation Agent for Permission Management,Control Information Disclosure,limited user interface,automatically negotiate privacy settings,Introduce a novel agent-based approach to negotiate the permission to exchange private data between users and services,"Privacy negotiation: the agent autonomously negotiates potential agreements for the user, which they can refine by manually continuing the negotiation",Proof-of-concept,automatically negotiate privacy settings,manage privacy settings,Automated negotiation; Negotiation agent; Privacy; Permissions; Mobile apps; Negotiation cost; Partial offers; Preference learning,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Baarslag T., Alan A.T., Gomer R., Alam M., Perera C., Gerding E.H., Schraefel M.C.",2017,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS"
P32,An automatic mechanism to provide privacy awareness and control over unwittingly dissemination of online private information,Raise Privacy Awareness,Risk communication,alerting users of potential disclosure of private data at the time of disclosure,"Propose a novel approach based on machine learning and sentence embedding techniques with the primary goal of providing privacy awareness to users and, as a consequence, full control over their data during online activities","Information sharing: a Google Chrome extension that first intercepts messages sent by users during online activities, then identifies and classifies sensitive content, and finally, alerts users of potential disclosure of private data at the time of disclosure",Experiment with dataset,prevent involuntary dissemination of sensitive information during online communications and make heedful decisions,raise privacy awareness,Privacy awareness and information leakage; machine learning; experimental study,-,N/A,N/A,N/A,N/A,Online Services,Journal Article,"Guarino A., Malandrino D., Zaccagnino R.",2022,Computer Networks
P33,An evaluation of three designs to engage users when providing their consent on smartphones,Control Information Disclosure,Control Information Disclosure,Permission dialogue in IdPs,"Propose and test alternative interaction design solutions for selecting personal information on permission dialogues, namely using checkboxes, a drag-and-drop selection, and a swiping action",Permission dialogue for IdP consent: Mobile,Lab. exp,be aware of the information they share,control information disclosure,Consent form; permission dialogues; personal data; usable privacy; user awareness; user interfaces,60,general,offline,vouchers,mixed,Online Services,Journal Article,"Lindegren D., Karegar F., Kane B., Pettersson J.S.",2021,Behaviour and Information Technology
P34,Analysis of Privacy Policies to Enhance Informed Consent,Control Information Disclosure,Control Information Disclosure,Consent,"Propose a privacy policy language used to express, compare and analyse privacy policies and that can be used by both data controllers and data subjects",Privacy settings: policy definition by the data subject and data controller to be agreed upon before data disclosure,Prototype,make more informed choices,control information disclosure,-,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Pardo, R.; Le Métayer, D.",2019,IFIP Annual Conference on Data and Applications Security and Privacy
P35,Android User Privacy Preserving Through Crowdsourcing,Control Information Disclosure,Recommendation-based,decision making supported by crowdsourcing,"Propose DroidNet, an Android permission control framework based on crowdsourcing",Setting permission: DroidNet runs new apps under probation mode without granting their permission requests upfront. It provides recommendations on whether to accept or reject the permission requests based on decisions from peer expert users,Lab. exp,grant permissions to apps based on recommendations from expert users.,control information disclosure,Mobile applications; crowdsourcing; privacy; permission,100,general,NI,NI,lay,Software applications,Journal Article,"Rashidi B., Fung C., Nguyen A., Vu T., Bertino E.",2018,IEEE Transactions on Information Forensics and Security
P36,AppMonitor: restricting information leakage to third‑party applications,Control Information Disclosure,Control Information Disclosure,data flow in OSNs third-party apps,Propose an access control framework called AppMonitor to monitor and curb the user data to TPA (Third-Party Applications),Information sharing: AppMonitor blocks the flow of private data between internal and external modules of a TPA. Users may specify the data access policies as per their privacy preferences,Lab. exp,reduce the risk of disclosure of their private attributes through TPAs,control information disclosure,Online social network; Third-party application; Privacy; Access control; Answer set programming,42,general,NI,NI,lay,Social Networks,Journal Article,"Rathore N.C., Tripathy S.",2020,Social Network Analysis and Mining
P37,AppScalpel: Combining static analysis and outlier detection to identify and prune undesirable usage of sensitive data in Android applications,Control Information Disclosure,Control Information Disclosure,data flow in mobile apps,"Implement a novel privacy-preserving system named AppScalpel to prune undesirable usage of sensitive data in Android applications, on the top of static analysis and outlier detection results","Information sharing: AppScalpel generates nonintervention rules, which are a set of descriptions that specify which data-flow paths within an app need to be blocked according to users’ decisions.",Lab. exp,protect their sensitive resources in a more fine-grained mode,control information disclosure,Android privacy; Static analysis; Outlier detection; Code instrumentation; Rule enforcement,-,N/A,N/A,N/A,N/A,Software applications,Journal Article,"Meng Z., Xiong Y., Huang W., Qin L., Jin X., Yan H.",2019,Neurocomputing
P38,Aquilis: Using Contextual Integrity for Privacy Protection on Mobile Devices,Raise Privacy Awareness,Risk communication,Privacy management in mobile apps,"Present Aquilis, a privacy-preserving system for mobile platforms following the principles of contextual integrity to define the appropriateness of an information flow",Information sharing: Aquilis takes the form of a context-aware keyboard that continuously analyses the input and informs users about the potential privacy risk based on the theory of contextual integrity,Experiment with dataset,improve their privacy awareness online,raise privacy awareness,Privacy; Mobile Device; Contextual Integrity,51,general,crowd sourcing platform,payment from the plataform used,lay,Software applications,Conference Paper,"Kumar A., Braud T., Kwon Y.D., Hui P.",2020,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies"
P39,Assisting humans in privacy management: an agent-based approach,Control Information Disclosure,interaction with social networks,recommendation-based privacy settings for image sharing,"Develop a novel privacy model to learn and recommend privacy settings, which is inspired from ideas in information retrieval and present an agent, pelte that uses the proposed privacy model for recommendation",Privacy settings: each agent uses the tags associated with already-shared images of its user to estimate the privacy setting for new images using the privacy retrieval model,Experiment with dataset,manage their privacy,manage privacy settings,Privacy; Online social network; Multiagent system,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Kurtan A.C., Yolum P.",2021,Autonomous Agents and Multi-Agent Systems
P40,Automated and Personalized Privacy Policy Extraction under GDPR Consideration,Raise Privacy Awareness,Improving querying and readability,"automated privacy policy extraction and summarisation
",A system to automatically predict and extract app’s privacy policies with personalized privacy concerns,Privacy policy: automated privacy policy extraction system (using classifier) considering users’ personal privacy concerns (privacy concern profile) under different contexts - mobile apps domain - Android,Experiment with dataset,learn their data usage from the privacy policy,raise knowledge of privacy policies,privacy policy extraction; GDPR ; mobile application privacy,96,general,crowd sourcing platform,payment from the plataform used,lay,Software applications,Conference Paper,"Chang, Cheng; Li, Huaxin; Zhang, Yichi; Du, Suguo; Cao, Hui; Zhu, Haojin",2019,"International Conference on Wireless Algorithms, Systems, and Applications"
P41,Automated Categorization of Privacy Policies Based on User Perspective,Raise Privacy Awareness,Improving querying and readability,automatically reading and classification of privacy policy documents according to a questions-answering model,Propose an approach to convey privacy policies in a way that a common user can comprehend,"Privacy policy: a question-answering model, which can automatically read and classify privacy policy documents and answer questions accordingly",Experiment with dataset,"be immediately aware of the privacy threats that are lurking in the shadows of the privacy policies, and allow them to take informed decisions about their rights",raise knowledge of privacy policies,privacy policies; GDPR; privacy goals; privacy assessment; machine learning,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Thotawaththa T.A.I., Gamage Y.T., Gamlath D., Chee W., Meedeniya D.",2021,"10th International Conference on Information and Automation for Sustainability, ICIAfS 2021"
P42,Automated privacy negotiations with preference uncertainty,Control Information Disclosure,Recommendation-based,Negotiation of privacy permissions; agent-based negotiation framework for privacy permission management,Propose a novel agent-based negotiation framework to negotiate privacy permissions between users and service providers using a new multi-issue alternating-offer protocol based on exchanges of partial and complete offers,Information sharing: automated privacy negotiation using autonomous agents that represent users and service providers ,Lab. exp,reduce the number of data sharing requests that the user needs to process manually,manage privacy settings,Multi-issue negotiation; Automation; Privacy management,132,academic community,offline,direct payment,mixed,Software applications,Journal Article,"Filipczuk D., Baarslag T., Gerding E.H., schraefel M.C.",2022,Autonomous Agents and Multi-Agent Systems
P43,Automated Privacy Preferences for Smart Home Data Sharing Using Personal Data Stores,Control Information Disclosure,Recommendation-based,Personal data storage,Propose a new privacy recommendation technology that can operate within a PDS (personal data storage) architecture and aims to assist users in establishing privacy-preserving data sharing,Privacy settings: enhances privacy by simplifying the privacy configuration of the applications by automatically recommending the actions to be taken when data-sharing requests are received from these applications,Experiment with dataset,making data-sharing decisions to avoid unintended privacy mishaps,manage privacy settings,-,304,general,crowd sourcing platform,payment from the plataform used,mixed,Internet of Things,Journal Article,"Shanmugarasa, Yashothara and Paik, Hye-young and Kanhere, Salil S and Zhu, Liming",2021,IEEE Security & Privacy
P44,Automatic assessment of privacy policies under the GDPR,Raise Privacy Awareness,Enabling privacy policy assessment,assessing privacy policies compliance through privacy scores,Present a system that automatically assesses privacy policies under the umbrella of the GDPR,Privacy policy: quantifies the degree of policy compliance with respect to the data protection goals stated by the GPDR and presents clear and intuitive privacy scores to the user,Experiment with dataset,take informed decisions when accepting (or not) the terms of a service.,raise knowledge of privacy policies,privacy policies; GDPR; privacy goals; privacy assessment; machine learning,-,N/A,N/A,N/A,N/A,Online Services,Journal Article,"Sánchez D., Viejo A., Batet M.",2021,Applied Sciences (Switzerland)
